worker_id,year,month,platform,monthly_income,workdays,n_platforms_active,is_holiday_season,pattern,job,work_type
2,2025,5,요기요,2013000,24,2,0,regular,delivery_transport,primary
2,2025,6,요기요,1521000,19,2,0,regular,delivery_transport,primary
2,2025,7,요기요,2710000,29,2,0,regular,delivery_transport,primary
2,2025,8,요기요,2244000,21,2,0,regular,delivery_transport,primary
2,2025,9,요기요,2034000,22,2,1,regular,delivery_transport,primary
2,2025,10,요기요,2792000,29,2,0,regular,delivery_transport,primary
2,2025,11,요기요,1991000,19,2,0,regular,delivery_transport,primary
2,2025,12,요기요,2802000,26,2,1,regular,delivery_transport,primary
2,2026,1,요기요,2068000,22,2,1,regular,delivery_transport,primary
2,2026,2,요기요,1931000,20,2,1,regular,delivery_transport,primary
2,2026,3,요기요,1923000,18,2,0,regular,delivery_transport,primary
2,2026,4,요기요,2359000,29,2,0,regular,delivery_transport,primary
2,2026,5,요기요,2188000,21,2,0,regular,delivery_transport,primary
3,2024,6,생각대로,0,0,0,0,irregular,delivery_transport,primary
3,2024,7,생각대로,4399000,30,1,0,irregular,delivery_transport,primary
3,2024,8,생각대로,7216000,29,1,0,irregular,delivery_transport,primary
3,2024,9,생각대로,0,0,0,1,irregular,delivery_transport,primary
3,2024,10,생각대로,3193000,27,1,0,irregular,delivery_transport,primary
3,2024,11,생각대로,2412000,21,1,0,irregular,delivery_transport,primary
3,2024,12,생각대로,0,0,0,1,irregular,delivery_transport,primary
3,2025,1,생각대로,3125000,29,1,1,irregular,delivery_transport,primary
3,2025,2,생각대로,2307000,22,1,1,irregular,delivery_transport,primary
3,2025,3,생각대로,4129000,24,1,0,irregular,delivery_transport,primary
3,2025,4,생각대로,3617000,31,1,0,irregular,delivery_transport,primary
3,2025,5,생각대로,2472000,21,1,0,irregular,delivery_transport,primary
3,2025,6,생각대로,2122000,16,1,0,irregular,delivery_transport,primary
3,2025,7,생각대로,3093000,23,1,0,irregular,delivery_transport,primary
3,2025,8,생각대로,2704000,23,1,0,irregular,delivery_transport,primary
3,2025,9,생각대로,3239000,32,1,1,irregular,delivery_transport,primary
3,2025,10,생각대로,1832000,16,1,0,irregular,delivery_transport,primary
3,2025,11,생각대로,2833000,21,1,0,irregular,delivery_transport,primary
3,2025,12,생각대로,4547000,31,1,1,irregular,delivery_transport,primary
3,2026,1,생각대로,1746000,14,1,1,irregular,delivery_transport,primary
3,2026,2,생각대로,4562000,24,1,1,irregular,delivery_transport,primary
3,2026,3,생각대로,3461000,27,1,0,irregular,delivery_transport,primary
3,2026,4,생각대로,5319000,25,1,0,irregular,delivery_transport,primary
3,2026,5,생각대로,3550000,30,1,0,irregular,delivery_transport,primary
4,2024,6,카카오모빌리티,2380000,29,1,0,seasonal,delivery_transport,primary
4,2024,7,카카오모빌리티,1995000,20,1,0,seasonal,delivery_transport,primary
4,2024,8,카카오모빌리티,1893000,22,1,0,seasonal,delivery_transport,primary
4,2024,9,카카오모빌리티,2019000,19,1,1,seasonal,delivery_transport,primary
4,2024,10,카카오모빌리티,1834000,19,1,0,seasonal,delivery_transport,primary
4,2024,11,카카오모빌리티,2256000,21,1,0,seasonal,delivery_transport,primary
4,2024,12,카카오모빌리티,2425000,23,1,1,seasonal,delivery_transport,primary
4,2025,1,카카오모빌리티,1575000,14,1,1,seasonal,delivery_transport,primary
4,2025,2,카카오모빌리티,1769000,20,1,1,seasonal,delivery_transport,primary
4,2025,3,카카오모빌리티,1612000,19,1,0,seasonal,delivery_transport,primary
4,2025,4,카카오모빌리티,1799000,17,1,0,seasonal,delivery_transport,primary
4,2025,5,카카오모빌리티,2535000,24,1,0,seasonal,delivery_transport,primary
4,2025,6,카카오모빌리티,1859000,22,1,0,seasonal,delivery_transport,primary
4,2025,7,카카오모빌리티,1563000,16,1,0,seasonal,delivery_transport,primary
4,2025,8,카카오모빌리티,1968000,19,1,0,seasonal,delivery_transport,primary
4,2025,9,카카오모빌리티,1323000,14,1,1,seasonal,delivery_transport,primary
4,2025,10,카카오모빌리티,2345000,27,1,0,seasonal,delivery_transport,primary
4,2025,11,카카오모빌리티,2047000,22,1,0,seasonal,delivery_transport,primary
4,2025,12,카카오모빌리티,2287000,28,1,1,seasonal,delivery_transport,primary
4,2026,1,카카오모빌리티,1257000,12,1,1,seasonal,delivery_transport,primary
4,2026,2,카카오모빌리티,1234000,13,1,1,seasonal,delivery_transport,primary
4,2026,3,카카오모빌리티,1448000,13,1,0,seasonal,delivery_transport,primary
4,2026,4,카카오모빌리티,2264000,24,1,0,seasonal,delivery_transport,primary
4,2026,5,카카오모빌리티,1991000,25,1,0,seasonal,delivery_transport,primary
5,2024,6,쿠팡이츠,2172000,16,3,0,regular,delivery_transport,primary
5,2024,7,쿠팡이츠,2363000,22,3,0,regular,delivery_transport,primary
5,2024,8,쿠팡이츠,2957000,25,3,0,regular,delivery_transport,primary
5,2024,9,쿠팡이츠,2271000,19,3,1,regular,delivery_transport,primary
5,2024,10,쿠팡이츠,2672000,25,3,0,regular,delivery_transport,primary
5,2024,11,쿠팡이츠,2893000,25,3,0,regular,delivery_transport,primary
5,2024,12,쿠팡이츠,2622000,23,3,1,regular,delivery_transport,primary
5,2025,1,쿠팡이츠,2876000,27,3,1,regular,delivery_transport,primary
5,2025,2,쿠팡이츠,2407000,20,3,1,regular,delivery_transport,primary
5,2025,3,쿠팡이츠,2756000,20,3,0,regular,delivery_transport,primary
5,2025,4,쿠팡이츠,2183000,19,3,0,regular,delivery_transport,primary
5,2025,5,쿠팡이츠,2624000,19,3,0,regular,delivery_transport,primary
5,2025,6,쿠팡이츠,2804000,21,3,0,regular,delivery_transport,primary
5,2025,7,쿠팡이츠,2281000,18,3,0,regular,delivery_transport,primary
5,2025,8,쿠팡이츠,2347000,22,3,0,regular,delivery_transport,primary
5,2025,9,쿠팡이츠,2417000,21,3,1,regular,delivery_transport,primary
5,2025,10,쿠팡이츠,2057000,17,3,0,regular,delivery_transport,primary
5,2025,11,쿠팡이츠,2448000,19,3,0,regular,delivery_transport,primary
5,2025,12,쿠팡이츠,2559000,24,3,1,regular,delivery_transport,primary
5,2026,1,쿠팡이츠,2575000,20,3,1,regular,delivery_transport,primary
5,2026,2,쿠팡이츠,2046000,16,3,1,regular,delivery_transport,primary
5,2026,3,쿠팡이츠,2521000,21,3,0,regular,delivery_transport,primary
5,2026,4,쿠팡이츠,2544000,23,3,0,regular,delivery_transport,primary
5,2026,5,쿠팡이츠,2810000,26,3,0,regular,delivery_transport,primary
6,2024,6,생각대로,1055000,8,1,0,regular,delivery_transport,occasional
6,2024,7,생각대로,1050000,8,1,0,regular,delivery_transport,occasional
6,2024,8,생각대로,1164000,10,1,0,regular,delivery_transport,occasional
6,2024,9,생각대로,1178000,12,1,1,regular,delivery_transport,occasional
6,2024,10,생각대로,949000,8,1,0,regular,delivery_transport,occasional
6,2024,11,생각대로,1222000,13,1,0,regular,delivery_transport,occasional
6,2024,12,생각대로,1144000,10,1,1,regular,delivery_transport,occasional
6,2025,1,생각대로,879000,7,1,1,regular,delivery_transport,occasional
6,2025,2,생각대로,908000,8,1,1,regular,delivery_transport,occasional
6,2025,3,생각대로,1165000,12,1,0,regular,delivery_transport,occasional
6,2025,4,생각대로,1218000,12,1,0,regular,delivery_transport,occasional
6,2025,5,생각대로,1134000,9,1,0,regular,delivery_transport,occasional
6,2025,6,생각대로,837000,8,1,0,regular,delivery_transport,occasional
6,2025,7,생각대로,1254000,10,1,0,regular,delivery_transport,occasional
6,2025,8,생각대로,1211000,11,1,0,regular,delivery_transport,occasional
6,2025,9,생각대로,1068000,9,1,1,regular,delivery_transport,occasional
6,2025,10,생각대로,1186000,9,1,0,regular,delivery_transport,occasional
6,2025,11,생각대로,1324000,13,1,0,regular,delivery_transport,occasional
6,2025,12,생각대로,1538000,11,1,1,regular,delivery_transport,occasional
6,2026,1,생각대로,1196000,12,1,1,regular,delivery_transport,occasional
6,2026,2,생각대로,934000,9,1,1,regular,delivery_transport,occasional
6,2026,3,생각대로,1195000,12,1,0,regular,delivery_transport,occasional
6,2026,4,생각대로,1059000,9,1,0,regular,delivery_transport,occasional
6,2026,5,생각대로,1251000,11,1,0,regular,delivery_transport,occasional
7,2024,6,크몽,4919000,24,1,0,irregular,professional,primary
7,2024,7,크몽,3469000,28,1,0,irregular,professional,primary
7,2024,8,크몽,974000,11,1,0,irregular,professional,primary
7,2024,9,크몽,2971000,28,1,1,irregular,professional,primary
7,2024,10,크몽,0,0,0,0,irregular,professional,primary
7,2024,11,크몽,0,0,0,0,irregular,professional,primary
7,2024,12,크몽,1415000,14,1,1,irregular,professional,primary
7,2025,1,크몽,2325000,25,1,1,irregular,professional,primary
7,2025,2,크몽,1458000,14,1,1,irregular,professional,primary
7,2025,3,크몽,0,0,0,0,irregular,professional,primary
7,2025,4,크몽,0,0,0,0,irregular,professional,primary
7,2025,5,크몽,1498000,17,1,0,irregular,professional,primary
7,2025,6,크몽,0,0,0,0,irregular,professional,primary
7,2025,7,크몽,2649000,30,1,0,irregular,professional,primary
7,2025,8,크몽,2463000,26,1,0,irregular,professional,primary
7,2025,9,크몽,676000,7,1,1,irregular,professional,primary
7,2025,10,크몽,2058000,19,1,0,irregular,professional,primary
7,2025,11,크몽,6402000,27,1,0,irregular,professional,primary
7,2025,12,크몽,1372000,13,1,1,irregular,professional,primary
7,2026,1,크몽,7444000,23,1,1,irregular,professional,primary
7,2026,2,크몽,8238000,25,1,1,irregular,professional,primary
7,2026,3,크몽,7436000,30,1,0,irregular,professional,primary
7,2026,4,크몽,1035000,10,1,0,irregular,professional,primary
7,2026,5,크몽,578000,6,1,0,irregular,professional,primary
8,2024,6,크라우드웍스,350000,4,1,0,irregular,simple_computer,primary
8,2024,7,크라우드웍스,2311000,23,1,0,irregular,simple_computer,primary
8,2024,8,크라우드웍스,2210000,23,1,0,irregular,simple_computer,primary
8,2024,9,크라우드웍스,1740000,21,1,1,irregular,simple_computer,primary
8,2024,10,크라우드웍스,1480000,19,1,0,irregular,simple_computer,primary
8,2024,11,크라우드웍스,2678000,29,1,0,irregular,simple_computer,primary
8,2024,12,크라우드웍스,899000,11,1,1,irregular,simple_computer,primary
8,2025,1,크라우드웍스,1184000,15,1,1,irregular,simple_computer,primary
8,2025,2,크라우드웍스,1283000,16,1,1,irregular,simple_computer,primary
8,2025,3,크라우드웍스,1392000,17,1,0,irregular,simple_computer,primary
8,2025,4,크라우드웍스,1031000,10,1,0,irregular,simple_computer,primary
8,2025,5,크라우드웍스,2219000,28,1,0,irregular,simple_computer,primary
8,2025,6,크라우드웍스,1068000,12,1,0,irregular,simple_computer,primary
8,2025,7,크라우드웍스,1067000,12,1,0,irregular,simple_computer,primary
8,2025,8,크라우드웍스,2370000,29,1,0,irregular,simple_computer,primary
8,2025,9,크라우드웍스,929000,11,1,1,irregular,simple_computer,primary
8,2025,10,크라우드웍스,1983000,23,1,0,irregular,simple_computer,primary
8,2025,11,크라우드웍스,1065000,11,1,0,irregular,simple_computer,primary
8,2025,12,크라우드웍스,0,0,0,1,irregular,simple_computer,primary
8,2026,1,크라우드웍스,0,0,0,1,irregular,simple_computer,primary
8,2026,2,크라우드웍스,0,0,0,1,irregular,simple_computer,primary
8,2026,3,크라우드웍스,0,0,0,0,irregular,simple_computer,primary
8,2026,4,크라우드웍스,0,0,0,0,irregular,simple_computer,primary
8,2026,5,크라우드웍스,1034000,10,1,0,irregular,simple_computer,primary
9,2024,6,크몽,3216000,21,2,0,regular,professional,primary
9,2024,7,크몽,2315000,18,2,0,regular,professional,primary
9,2024,8,크몽,4442000,31,2,0,regular,professional,primary
9,2024,9,크몽,3762000,24,2,1,regular,professional,primary
9,2024,10,크몽,3549000,24,2,0,regular,professional,primary
9,2024,11,크몽,2602000,17,2,0,regular,professional,primary
9,2024,12,크몽,3293000,20,2,1,regular,professional,primary
9,2025,1,크몽,4165000,27,2,1,regular,professional,primary
9,2025,2,크몽,3012000,21,2,1,regular,professional,primary
9,2025,3,크몽,2722000,18,2,0,regular,professional,primary
9,2025,4,크몽,3063000,23,2,0,regular,professional,primary
9,2025,5,크몽,3337000,27,2,0,regular,professional,primary
9,2025,6,크몽,1884000,13,2,0,regular,professional,primary
9,2025,7,크몽,4258000,26,2,0,regular,professional,primary
9,2025,8,크몽,3335000,26,2,0,regular,professional,primary
9,2025,9,크몽,2611000,21,2,1,regular,professional,primary
9,2025,10,크몽,3542000,23,2,0,regular,professional,primary
9,2025,11,크몽,3047000,21,2,0,regular,professional,primary
9,2025,12,크몽,3142000,25,2,1,regular,professional,primary
9,2026,1,크몽,3216000,26,2,1,regular,professional,primary
9,2026,2,크몽,3303000,26,2,1,regular,professional,primary
9,2026,3,크몽,3780000,24,2,0,regular,professional,primary
9,2026,4,크몽,3714000,30,2,0,regular,professional,primary
9,2026,5,크몽,3077000,23,2,0,regular,professional,primary
10,2024,6,당근알바,594000,11,2,0,regular,etc,occasional
10,2024,7,당근알바,683000,11,2,0,regular,etc,occasional
10,2024,8,당근알바,450000,7,2,0,regular,etc,occasional
10,2024,9,당근알바,773000,15,2,1,regular,etc,occasional
10,2024,10,당근알바,597000,10,2,0,regular,etc,occasional
10,2024,11,당근알바,651000,13,2,0,regular,etc,occasional
10,2024,12,당근알바,534000,9,2,1,regular,etc,occasional
10,2025,1,당근알바,630000,10,2,1,regular,etc,occasional
10,2025,2,당근알바,756000,16,2,1,regular,etc,occasional
10,2025,3,당근알바,595000,12,2,0,regular,etc,occasional
10,2025,4,당근알바,702000,15,2,0,regular,etc,occasional
10,2025,5,당근알바,529000,10,2,0,regular,etc,occasional
10,2025,6,당근알바,767000,16,2,0,regular,etc,occasional
10,2025,7,당근알바,680000,12,2,0,regular,etc,occasional
10,2025,8,당근알바,675000,12,2,0,regular,etc,occasional
10,2025,9,당근알바,707000,14,2,1,regular,etc,occasional
10,2025,10,당근알바,695000,13,2,0,regular,etc,occasional
10,2025,11,당근알바,638000,13,2,0,regular,etc,occasional
10,2025,12,당근알바,609000,12,2,1,regular,etc,occasional
10,2026,1,당근알바,731000,13,2,1,regular,etc,occasional
10,2026,2,당근알바,651000,11,2,1,regular,etc,occasional
10,2026,3,당근알바,629000,13,2,0,regular,etc,occasional
10,2026,4,당근알바,621000,10,2,0,regular,etc,occasional
10,2026,5,당근알바,650000,11,2,0,regular,etc,occasional
11,2024,6,카카오모빌리티,3614000,21,1,0,irregular,delivery_transport,primary
11,2024,7,카카오모빌리티,1817000,12,1,0,irregular,delivery_transport,primary
11,2024,8,카카오모빌리티,2173000,12,1,0,irregular,delivery_transport,primary
11,2024,9,카카오모빌리티,3239000,17,1,1,irregular,delivery_transport,primary
11,2024,10,카카오모빌리티,7022000,29,1,0,irregular,delivery_transport,primary
11,2024,11,카카오모빌리티,5101000,34,1,0,irregular,delivery_transport,primary
11,2024,12,카카오모빌리티,8525000,33,1,1,irregular,delivery_transport,primary
11,2025,1,카카오모빌리티,7802000,33,1,1,irregular,delivery_transport,primary
11,2025,2,카카오모빌리티,2688000,19,1,1,irregular,delivery_transport,primary
11,2025,3,카카오모빌리티,0,0,0,0,irregular,delivery_transport,primary
11,2025,4,카카오모빌리티,3653000,27,1,0,irregular,delivery_transport,primary
11,2025,5,카카오모빌리티,3108000,17,1,0,irregular,delivery_transport,primary
11,2025,6,카카오모빌리티,0,0,0,0,irregular,delivery_transport,primary
11,2025,7,카카오모빌리티,2153000,15,1,0,irregular,delivery_transport,primary
11,2025,8,카카오모빌리티,4567000,33,1,0,irregular,delivery_transport,primary
11,2025,9,카카오모빌리티,3752000,22,1,1,irregular,delivery_transport,primary
11,2025,10,카카오모빌리티,4176000,23,1,0,irregular,delivery_transport,primary
11,2025,11,카카오모빌리티,2476000,17,1,0,irregular,delivery_transport,primary
11,2025,12,카카오모빌리티,3729000,22,1,1,irregular,delivery_transport,primary
11,2026,1,카카오모빌리티,5681000,28,1,1,irregular,delivery_transport,primary
11,2026,2,카카오모빌리티,9000000,36,1,1,irregular,delivery_transport,primary
11,2026,3,카카오모빌리티,9000000,32,1,0,irregular,delivery_transport,primary
11,2026,4,카카오모빌리티,8854000,29,1,0,irregular,delivery_transport,primary
11,2026,5,카카오모빌리티,6081000,32,1,0,irregular,delivery_transport,primary
12,2024,6,배달의민족,2838000,18,1,0,seasonal,delivery_transport,primary
12,2024,7,배달의민족,4119000,29,1,0,seasonal,delivery_transport,primary
12,2024,8,배달의민족,3354000,20,1,0,seasonal,delivery_transport,primary
12,2024,9,배달의민족,3484000,22,1,1,seasonal,delivery_transport,primary
12,2024,10,배달의민족,3970000,27,1,0,seasonal,delivery_transport,primary
12,2024,11,배달의민족,3478000,20,1,0,seasonal,delivery_transport,primary
12,2024,12,배달의민족,5235000,27,1,1,seasonal,delivery_transport,primary
12,2025,1,배달의민족,3060000,17,1,1,seasonal,delivery_transport,primary
12,2025,2,배달의민족,2943000,19,1,1,seasonal,delivery_transport,primary
12,2025,3,배달의민족,2675000,19,1,0,seasonal,delivery_transport,primary
12,2025,4,배달의민족,3631000,28,1,0,seasonal,delivery_transport,primary
12,2025,5,배달의민족,2867000,20,1,0,seasonal,delivery_transport,primary
12,2025,6,배달의민족,2454000,15,1,0,seasonal,delivery_transport,primary
12,2025,7,배달의민족,4459000,31,1,0,seasonal,delivery_transport,primary
12,2025,8,배달의민족,4594000,26,1,0,seasonal,delivery_transport,primary
12,2025,9,배달의민족,3278000,21,1,1,seasonal,delivery_transport,primary
12,2025,10,배달의민족,3743000,23,1,0,seasonal,delivery_transport,primary
12,2025,11,배달의민족,3061000,23,1,0,seasonal,delivery_transport,primary
12,2025,12,배달의민족,4205000,26,1,1,seasonal,delivery_transport,primary
12,2026,1,배달의민족,2910000,20,1,1,seasonal,delivery_transport,primary
12,2026,2,배달의민족,2949000,17,1,1,seasonal,delivery_transport,primary
12,2026,3,배달의민족,3956000,26,1,0,seasonal,delivery_transport,primary
12,2026,4,배달의민족,4080000,24,1,0,seasonal,delivery_transport,primary
12,2026,5,배달의민족,3790000,23,1,0,seasonal,delivery_transport,primary
13,2024,6,쿠팡플렉스,764000,7,1,0,regular,delivery_transport,occasional
13,2024,7,쿠팡플렉스,716000,7,1,0,regular,delivery_transport,occasional
13,2024,8,쿠팡플렉스,605000,7,1,0,regular,delivery_transport,occasional
13,2024,9,쿠팡플렉스,725000,8,1,1,regular,delivery_transport,occasional
13,2024,10,쿠팡플렉스,672000,6,1,0,regular,delivery_transport,occasional
13,2024,11,쿠팡플렉스,612000,6,1,0,regular,delivery_transport,occasional
13,2024,12,쿠팡플렉스,766000,7,1,1,regular,delivery_transport,occasional
13,2025,1,쿠팡플렉스,648000,7,1,1,regular,delivery_transport,occasional
13,2025,2,쿠팡플렉스,741000,7,1,1,regular,delivery_transport,occasional
13,2025,3,쿠팡플렉스,662000,6,1,0,regular,delivery_transport,occasional
13,2025,4,쿠팡플렉스,633000,6,1,0,regular,delivery_transport,occasional
13,2025,5,쿠팡플렉스,578000,5,1,0,regular,delivery_transport,occasional
13,2025,6,쿠팡플렉스,729000,6,1,0,regular,delivery_transport,occasional
13,2025,7,쿠팡플렉스,744000,6,1,0,regular,delivery_transport,occasional
13,2025,8,쿠팡플렉스,736000,6,1,0,regular,delivery_transport,occasional
13,2025,9,쿠팡플렉스,725000,8,1,1,regular,delivery_transport,occasional
13,2025,10,쿠팡플렉스,578000,6,1,0,regular,delivery_transport,occasional
13,2025,11,쿠팡플렉스,572000,6,1,0,regular,delivery_transport,occasional
13,2025,12,쿠팡플렉스,723000,6,1,1,regular,delivery_transport,occasional
13,2026,1,쿠팡플렉스,680000,6,1,1,regular,delivery_transport,occasional
13,2026,2,쿠팡플렉스,642000,5,1,1,regular,delivery_transport,occasional
13,2026,3,쿠팡플렉스,414000,4,1,0,regular,delivery_transport,occasional
13,2026,4,쿠팡플렉스,642000,6,1,0,regular,delivery_transport,occasional
13,2026,5,쿠팡플렉스,712000,8,1,0,regular,delivery_transport,occasional
14,2024,6,탈잉,0,0,0,0,irregular,creative,primary
14,2024,7,탈잉,0,0,0,0,irregular,creative,primary
14,2024,8,탈잉,1737000,16,2,0,irregular,creative,primary
14,2024,9,탈잉,0,0,0,1,irregular,creative,primary
14,2024,10,탈잉,2759000,23,2,0,irregular,creative,primary
14,2024,11,탈잉,0,0,0,0,irregular,creative,primary
14,2024,12,탈잉,2733000,19,2,1,irregular,creative,primary
14,2025,1,탈잉,0,0,0,1,irregular,creative,primary
14,2025,2,탈잉,0,0,0,1,irregular,creative,primary
14,2025,3,탈잉,0,0,0,0,irregular,creative,primary
14,2025,4,탈잉,2737000,19,2,0,irregular,creative,primary
14,2025,5,탈잉,4057000,30,2,0,irregular,creative,primary
14,2025,6,탈잉,1508000,13,2,0,irregular,creative,primary
14,2025,7,탈잉,4017000,30,2,0,irregular,creative,primary
14,2025,8,탈잉,981000,7,1,0,irregular,creative,primary
14,2025,9,탈잉,5040000,27,2,1,irregular,creative,primary
14,2025,10,탈잉,2039000,18,2,0,irregular,creative,primary
14,2025,11,탈잉,1535000,12,2,0,irregular,creative,primary
14,2025,12,탈잉,3937000,27,2,1,irregular,creative,primary
14,2026,1,탈잉,3659000,31,2,1,irregular,creative,primary
14,2026,2,탈잉,557000,4,1,1,irregular,creative,primary
14,2026,3,탈잉,654000,5,1,0,irregular,creative,primary
14,2026,4,탈잉,3694000,31,2,0,irregular,creative,primary
14,2026,5,탈잉,0,0,0,0,irregular,creative,primary
15,2024,6,생각대로,660000,10,2,0,regular,delivery_transport,occasional
15,2024,7,생각대로,616000,9,2,0,regular,delivery_transport,occasional
15,2024,8,생각대로,553000,6,2,0,regular,delivery_transport,occasional
15,2024,9,생각대로,448000,6,2,1,regular,delivery_transport,occasional
15,2024,10,생각대로,701000,10,2,0,regular,delivery_transport,occasional
15,2024,11,생각대로,742000,11,2,0,regular,delivery_transport,occasional
15,2024,12,생각대로,667000,7,2,1,regular,delivery_transport,occasional
15,2025,1,생각대로,574000,8,2,1,regular,delivery_transport,occasional
15,2025,2,생각대로,528000,8,2,1,regular,delivery_transport,occasional
15,2025,3,생각대로,533000,6,2,0,regular,delivery_transport,occasional
15,2025,4,생각대로,709000,10,2,0,regular,delivery_transport,occasional
15,2025,5,생각대로,736000,11,2,0,regular,delivery_transport,occasional
15,2025,6,생각대로,758000,11,2,0,regular,delivery_transport,occasional
15,2025,7,생각대로,449000,6,2,0,regular,delivery_transport,occasional
15,2025,8,생각대로,778000,8,2,0,regular,delivery_transport,occasional
15,2025,9,생각대로,632000,8,2,1,regular,delivery_transport,occasional
15,2025,10,생각대로,517000,6,2,0,regular,delivery_transport,occasional
15,2025,11,생각대로,741000,10,2,0,regular,delivery_transport,occasional
15,2025,12,생각대로,528000,6,2,1,regular,delivery_transport,occasional
15,2026,1,생각대로,416000,6,2,1,regular,delivery_transport,occasional
15,2026,2,생각대로,664000,9,2,1,regular,delivery_transport,occasional
15,2026,3,생각대로,572000,8,2,0,regular,delivery_transport,occasional
15,2026,4,생각대로,698000,9,2,0,regular,delivery_transport,occasional
15,2026,5,생각대로,691000,9,2,0,regular,delivery_transport,occasional
16,2024,6,배달의민족,827000,15,1,0,regular,delivery_transport,secondary
16,2024,7,배달의민족,679000,9,1,0,regular,delivery_transport,secondary
16,2024,8,배달의민족,706000,10,1,0,regular,delivery_transport,secondary
16,2024,9,배달의민족,557000,10,1,1,regular,delivery_transport,secondary
16,2024,10,배달의민족,529000,9,1,0,regular,delivery_transport,secondary
16,2024,11,배달의민족,600000,10,1,0,regular,delivery_transport,secondary
16,2024,12,배달의민족,613000,8,1,1,regular,delivery_transport,secondary
16,2025,1,배달의민족,597000,8,1,1,regular,delivery_transport,secondary
16,2025,2,배달의민족,781000,11,1,1,regular,delivery_transport,secondary
16,2025,3,배달의민족,699000,9,1,0,regular,delivery_transport,secondary
16,2025,4,배달의민족,877000,14,1,0,regular,delivery_transport,secondary
16,2025,5,배달의민족,727000,13,1,0,regular,delivery_transport,secondary
16,2025,6,배달의민족,739000,11,1,0,regular,delivery_transport,secondary
16,2025,7,배달의민족,641000,9,1,0,regular,delivery_transport,secondary
16,2025,8,배달의민족,732000,13,1,0,regular,delivery_transport,secondary
16,2025,9,배달의민족,570000,10,1,1,regular,delivery_transport,secondary
16,2025,10,배달의민족,718000,12,1,0,regular,delivery_transport,secondary
16,2025,11,배달의민족,931000,13,1,0,regular,delivery_transport,secondary
16,2025,12,배달의민족,659000,11,1,1,regular,delivery_transport,secondary
16,2026,1,배달의민족,878000,12,1,1,regular,delivery_transport,secondary
16,2026,2,배달의민족,746000,13,1,1,regular,delivery_transport,secondary
16,2026,3,배달의민족,721000,12,1,0,regular,delivery_transport,secondary
16,2026,4,배달의민족,633000,9,1,0,regular,delivery_transport,secondary
16,2026,5,배달의민족,982000,14,1,0,regular,delivery_transport,secondary
17,2024,6,숨고,1557000,16,2,0,irregular,professional,secondary
17,2024,7,숨고,555000,6,2,0,irregular,professional,secondary
17,2024,8,숨고,2370000,16,2,0,irregular,professional,secondary
17,2024,9,숨고,1793000,16,2,1,irregular,professional,secondary
17,2024,10,숨고,742000,8,2,0,irregular,professional,secondary
17,2024,11,숨고,2825000,16,2,0,irregular,professional,secondary
17,2024,12,숨고,0,0,0,1,irregular,professional,secondary
