worker_id,pattern,primary_platform,platforms,n_platforms,avg_workdays,base_monthly_income,gender,age_band,job,job_ko,work_type,submode,intended_pattern,home_industry_code,annual_revenue_y1,annual_revenue_y2,avg_annual_revenue,is_target_segment,split
14,irregular,탈잉,탈잉;트위치,2,22,2673524,female,30s,creative,창작활동,primary,,irregular,940306,14022734,27620717,20821726,0,train
15,regular,생각대로,생각대로;쿠팡이츠,2,9,664129,male,40s,delivery_transport,운송·배달·대리,occasional,delivery,regular,940918,7464674,7444387,7454530,0,train
16,regular,배달의민족,배달의민족,1,11,679017,female,40s,delivery_transport,운송·배달·대리,secondary,delivery,regular,940918,8192129,8950555,8571342,0,valid
17,irregular,숨고,숨고;크몽,2,13,1050642,male,40s,professional,전문서비스,secondary,,irregular,940911,16396920,19413228,17905074,0,valid
18,regular,바로고,바로고;로지올;카카오T대리,3,21,1740447,male,30s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,21358260,22105202,21731731,0,valid
19,irregular,셀렉트스타,셀렉트스타;에이모,2,21,1803389,male,30s,simple_computer,컴퓨터 단순작업,primary,,irregular,940911,6177102,5357640,5767371,0,train
20,seasonal,카카오T대리,카카오T대리;쿠팡플렉스,2,21,1373317,male,40s,delivery_transport,운송·배달·대리,primary,proxy,seasonal,940920,16481175,19027182,17754178,0,train
21,irregular,숨고,숨고,1,22,2004303,male,50s,professional,전문서비스,primary,,irregular,940911,29456868,32062440,30759654,0,train
22,regular,크몽,크몽,1,20,3629096,female,20s,professional,전문서비스,primary,,seasonal,940911,46043914,49041799,47542856,0,train
23,regular,크몽,크몽,1,15,1358653,male,40s,professional,전문서비스,secondary,,seasonal,940911,18130286,18724840,18427563,0,train
24,irregular,트위치,트위치;유튜브,2,10,532491,male,50s,creative,창작활동,occasional,,irregular,940306,3095217,5415507,4255362,0,train
25,irregular,숨고,숨고,1,10,1352688,male,50s,professional,전문서비스,secondary,,irregular,940911,22041160,11631221,16836190,0,train
26,regular,바로고,바로고;쿠팡플렉스;카카오모빌리티,3,21,2549817,male,50s,delivery_transport,운송·배달·대리,primary,delivery,regular,940918,33019226,31414516,32216871,1,valid
27,irregular,카카오모빌리티,카카오모빌리티;바로고;쿠팡이츠,3,6,628379,male,30s,delivery_transport,운송·배달·대리,occasional,proxy,irregular,940920,6021859,9547633,7784746,0,train
28,irregular,요기요,요기요;배달의민족;바로고,3,26,1846456,male,50s,delivery_transport,운송·배달·대리,primary,delivery,irregular,940918,14199594,22482417,18341006,0,train
29,irregular,바로고,바로고;로지올,2,26,3899998,male,50s,delivery_transport,운송·배달·대리,primary,delivery,irregular,940918,22790305,68852526,45821416,1,train
30,regular,카카오모빌리티,카카오모빌리티;생각대로;쿠팡플렉스,3,22,2940446,male,60s,delivery_transport,운송·배달·대리,primary,proxy,regular,940920,36968173,37623177,37295675,1,valid
31,seasonal,요기요,요기요,1,22,2498967,male,30s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,31329169,31556246,31442708,0,train
32,regular,요기요,요기요,1,6,792418,male,40s,delivery_transport,운송·배달·대리,occasional,delivery,seasonal,940918,9522196,9619789,9570992,0,train
33,irregular,유튜브,유튜브,1,12,1400268,female,50s,creative,창작활동,secondary,,irregular,940306,6096785,28977803,17537294,0,valid
34,regular,쿠팡플렉스,쿠팡플렉스;쿠팡이츠,2,17,971334,male,50s,delivery_transport,운송·배달·대리,secondary,delivery,seasonal,940917,11936839,11547019,11741929,0,train
35,regular,로지올,로지올;카카오모빌리티,2,23,1882297,male,60s,delivery_transport,운송·배달·대리,primary,delivery,regular,940917,23407219,22840385,23123802,0,valid
36,irregular,크라우드웍스,크라우드웍스;에이모,2,24,1969731,male,40s,simple_computer,컴퓨터 단순작업,primary,,irregular,940911,5702419,18066369,11884394,0,train
37,regular,쿠팡이츠,쿠팡이츠;카카오모빌리티;로지올,3,26,3093987,male,60s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,36605878,38094349,37350114,1,train
38,irregular,숨고,숨고;크몽,2,21,3134288,female,30s,professional,전문서비스,primary,,irregular,940911,29537380,48190999,38864190,1,train
39,irregular,바로고,바로고;카카오T대리,2,15,656954,male,50s,delivery_transport,운송·배달·대리,secondary,delivery,irregular,940918,7175751,2313548,4744650,0,train
40,irregular,크라우드웍스,크라우드웍스,1,24,2031249,female,20s,simple_computer,컴퓨터 단순작업,primary,,irregular,940911,5061796,6770075,5915936,0,train
41,regular,쿠팡플렉스,쿠팡플렉스,1,20,2073376,male,30s,delivery_transport,운송·배달·대리,primary,delivery,regular,940917,25321690,26023357,25672524,0,train
42,regular,카카오T대리,카카오T대리,1,20,2497688,female,50s,delivery_transport,운송·배달·대리,primary,proxy,regular,940920,29995931,32765610,31380770,0,train
43,regular,크몽,크몽,1,5,907934,female,30s,professional,전문서비스,occasional,,seasonal,940911,11573518,11266298,11419908,0,train
44,irregular,숨고,숨고;크몽,2,26,3018480,male,20s,professional,전문서비스,primary,,irregular,940911,36714337,29678113,33196225,1,train
45,regular,생각대로,생각대로,1,23,1913481,male,60s,delivery_transport,운송·배달·대리,primary,delivery,regular,940918,21908083,23176581,22542332,0,train
46,irregular,에이모,에이모,1,11,481678,male,50s,simple_computer,컴퓨터 단순작업,occasional,,irregular,940911,3223786,17259018,10241402,0,train
47,irregular,에이모,에이모;크라우드웍스,2,23,1656679,male,40s,simple_computer,컴퓨터 단순작업,primary,,irregular,940911,14731151,8140033,11435592,0,train
48,irregular,카카오T대리,카카오T대리;로지올,2,23,1888863,male,30s,delivery_transport,운송·배달·대리,primary,proxy,irregular,940920,16242115,33519607,24880861,1,train
49,regular,바로고,바로고;쿠팡이츠,2,10,2090000,male,20s,delivery_transport,운송·배달·대리,secondary,delivery,seasonal,940918,25874893,24898656,25386774,0,train
50,irregular,생각대로,생각대로;쿠팡플렉스,2,24,2144830,female,50s,delivery_transport,운송·배달·대리,primary,delivery,irregular,940918,21275835,27997696,24636766,1,train
51,seasonal,카카오T대리,카카오T대리,1,23,2046210,male,30s,delivery_transport,운송·배달·대리,primary,proxy,seasonal,940920,26481586,27802443,27142014,0,train
52,seasonal,카카오모빌리티,카카오모빌리티;카카오T대리,2,26,2692596,female,30s,delivery_transport,운송·배달·대리,primary,proxy,regular,940920,32915979,36088264,34502122,1,valid
53,irregular,로지올,로지올;바로고,2,18,1016324,female,30s,delivery_transport,운송·배달·대리,secondary,delivery,irregular,940917,19851516,22420969,21136242,0,valid
54,irregular,크몽,크몽;숨고,2,25,3454634,male,20s,professional,전문서비스,primary,,irregular,940911,31898753,13006840,22452796,0,valid
55,irregular,이랜서,이랜서,1,24,3807628,female,30s,it_service,IT 서비스,primary,,irregular,940911,59595820,68574270,64085045,0,train
56,irregular,크몽,크몽;숨고,2,10,1105740,male,20s,professional,전문서비스,secondary,,irregular,940911,9235502,14517088,11876295,0,train
57,regular,쿠팡플렉스,쿠팡플렉스;카카오모빌리티,2,23,2506904,male,30s,delivery_transport,운송·배달·대리,primary,delivery,regular,940917,30884450,27434472,29159461,1,train
58,seasonal,에이모,에이모,1,20,1499593,female,30s,simple_computer,컴퓨터 단순작업,primary,,regular,940911,16833478,16700586,16767032,0,valid
59,irregular,당근알바,당근알바;쿠팡홈서비스,2,7,458504,female,30s,etc,기타,occasional,,irregular,940502,6815768,4553131,5684450,0,valid
60,seasonal,쿠팡이츠,쿠팡이츠;배달의민족;쿠팡플렉스,3,20,1875129,male,30s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,23691788,23037015,23364402,0,train
61,regular,쿠팡이츠,쿠팡이츠,1,23,2085099,male,30s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,26777760,24273501,25525630,0,valid
62,irregular,카카오T대리,카카오T대리,1,17,1342245,male,50s,delivery_transport,운송·배달·대리,secondary,proxy,irregular,940920,19805357,14053931,16929644,0,valid
63,seasonal,카카오모빌리티,카카오모빌리티,1,16,908192,female,40s,delivery_transport,운송·배달·대리,secondary,proxy,seasonal,940920,11576945,11762035,11669490,0,train
64,seasonal,쿠팡플렉스,쿠팡플렉스;배달의민족,2,4,363097,male,50s,delivery_transport,운송·배달·대리,occasional,delivery,regular,940917,4489983,4332442,4411212,0,train
65,regular,바로고,바로고;요기요,2,23,1641760,male,20s,delivery_transport,운송·배달·대리,primary,delivery,regular,940918,19275869,18295129,18785499,0,valid
66,irregular,트위치,트위치;클래스101,2,25,2317625,female,40s,creative,창작활동,primary,,irregular,940306,18025852,7122942,12574397,0,valid
67,irregular,숨고,숨고;크몽,2,23,3791984,male,30s,professional,전문서비스,primary,,irregular,940911,37433465,19686772,28560118,1,valid
68,regular,카카오T대리,카카오T대리;바로고,2,23,3756277,male,60s,delivery_transport,운송·배달·대리,primary,proxy,regular,940920,42928204,47177643,45052924,1,train
69,regular,배달의민족,배달의민족,1,26,1852545,male,40s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,22047297,22407046,22227172,0,train
70,irregular,크몽,크몽;숨고,2,10,558172,female,30s,professional,전문서비스,occasional,,irregular,940911,5992518,4553216,5272867,0,train
71,irregular,쿠팡홈서비스,쿠팡홈서비스;당근알바,2,11,970272,male,30s,etc,기타,secondary,,irregular,940904,8348510,3380336,5864423,0,train
72,regular,숨고,숨고;크몽,2,15,936975,female,60s,professional,전문서비스,secondary,,seasonal,940911,12177050,12109800,12143425,0,train
73,irregular,크몽,크몽,1,11,1091422,female,30s,professional,전문서비스,secondary,,irregular,940911,10024156,32822513,21423334,0,train
74,irregular,셀렉트스타,셀렉트스타,1,22,2082964,female,40s,simple_computer,컴퓨터 단순작업,primary,,irregular,940911,10399688,12449103,11424396,0,train
75,seasonal,요기요,요기요,1,24,1396204,male,40s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,17726047,18865566,18295806,0,valid
76,seasonal,쿠팡플렉스,쿠팡플렉스,1,25,2221868,male,40s,delivery_transport,운송·배달·대리,primary,delivery,regular,940917,27757492,27600848,27679170,0,train
77,irregular,클래스101,클래스101,1,14,870497,male,40s,creative,창작활동,secondary,,irregular,940306,12004651,8765468,10385060,0,train
78,seasonal,크라우드웍스,크라우드웍스;에이모;셀렉트스타,3,18,639009,male,40s,simple_computer,컴퓨터 단순작업,secondary,,regular,940911,7631240,7905695,7768468,0,valid
79,regular,로지올,로지올;카카오모빌리티;카카오T대리,3,26,1638203,male,50s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940917,18850978,19677139,19264058,0,valid
80,irregular,유튜브,유튜브;트위치;탈잉,3,25,2371876,female,30s,creative,창작활동,primary,,irregular,940306,13151120,21156803,17153962,0,valid
81,regular,카카오T대리,카카오T대리;쿠팡플렉스,2,17,842734,male,20s,delivery_transport,운송·배달·대리,secondary,proxy,regular,940920,10689247,10273613,10481430,0,train
82,regular,쿠팡플렉스,쿠팡플렉스,1,20,1777902,male,20s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940917,24850728,22981503,23916116,0,train
83,irregular,숨고,숨고,1,7,366303,male,40s,professional,전문서비스,occasional,,irregular,940911,4203936,4287538,4245737,0,train
84,seasonal,바로고,바로고,1,10,479981,male,30s,delivery_transport,운송·배달·대리,occasional,delivery,seasonal,940918,5522247,6170863,5846555,0,train
85,seasonal,카카오모빌리티,카카오모빌리티,1,24,2775529,female,30s,delivery_transport,운송·배달·대리,primary,proxy,seasonal,940920,35246187,35612795,35429491,0,train
86,regular,카카오모빌리티,카카오모빌리티,1,12,1040422,male,40s,delivery_transport,운송·배달·대리,secondary,proxy,seasonal,940920,13211559,13747427,13479493,0,valid
87,seasonal,쿠팡이츠,쿠팡이츠,1,24,1544758,male,50s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,19399428,18522735,18961082,0,valid
88,regular,쿠팡홈서비스,쿠팡홈서비스,1,6,344871,male,20s,etc,기타,occasional,,seasonal,940904,4923028,4892296,4907662,0,train
89,irregular,크몽,크몽;숨고,2,4,498100,male,20s,professional,전문서비스,occasional,,irregular,940911,8614297,4602656,6608476,0,train
90,regular,배달의민족,배달의민족,1,10,721764,male,30s,delivery_transport,운송·배달·대리,secondary,delivery,regular,940918,8650712,8411143,8530928,0,valid
91,irregular,배달의민족,배달의민족,1,17,1138613,male,20s,delivery_transport,운송·배달·대리,secondary,delivery,irregular,940918,9834001,15769224,12801612,0,train
92,irregular,트위치,트위치;클래스101,2,7,786538,male,20s,creative,창작활동,occasional,,irregular,940306,13295335,7950273,10622804,0,train
93,regular,생각대로,생각대로,1,15,1145993,male,30s,delivery_transport,운송·배달·대리,secondary,delivery,regular,940918,14714294,15259738,14987016,0,valid
94,irregular,카카오모빌리티,카카오모빌리티,1,20,2193502,male,20s,delivery_transport,운송·배달·대리,primary,proxy,irregular,940920,23999512,13625887,18812700,0,train
95,regular,로지올,로지올,1,20,2597049,male,40s,delivery_transport,운송·배달·대리,primary,delivery,regular,940917,31538818,32691979,32115398,0,valid
96,seasonal,쿠팡플렉스,쿠팡플렉스,1,21,2028950,male,50s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940917,25267421,25442929,25355175,0,train
97,irregular,셀렉트스타,셀렉트스타,1,8,340122,male,20s,simple_computer,컴퓨터 단순작업,occasional,,irregular,940911,1834904,3957492,2896198,0,train
98,seasonal,카카오T대리,카카오T대리;로지올,2,10,1301916,male,50s,delivery_transport,운송·배달·대리,secondary,proxy,seasonal,940920,16318737,17242336,16780536,0,train
99,irregular,청소연구소,청소연구소,1,16,712647,female,40s,care_cleaning,가사·청소·돌봄,secondary,,irregular,940502,7326196,15366604,11346400,0,valid
100,regular,숨고,숨고,1,21,2451361,female,40s,professional,전문서비스,primary,,regular,940911,30094308,30020881,30057594,0,train
101,regular,크몽,크몽,1,22,1621775,male,60s,professional,전문서비스,primary,,seasonal,940911,19487576,21796519,20642048,0,train
102,irregular,크몽,크몽;숨고,2,23,4721615,female,40s,professional,전문서비스,primary,,irregular,940911,14589964,79183140,46886552,1,train
103,seasonal,쿠팡플렉스,쿠팡플렉스,1,26,2527252,male,30s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940917,31815730,28171840,29993785,0,train
104,seasonal,배달의민족,배달의민족,1,12,820692,male,40s,delivery_transport,운송·배달·대리,secondary,delivery,seasonal,940918,10897677,11133916,11015796,0,train
105,irregular,요기요,요기요,1,26,2696257,male,60s,delivery_transport,운송·배달·대리,primary,delivery,irregular,940918,14680034,19402236,17041135,0,train
106,regular,요기요,요기요;바로고;쿠팡이츠,3,14,1183064,male,50s,delivery_transport,운송·배달·대리,secondary,delivery,seasonal,940918,16461913,16937712,16699812,0,valid
107,regular,청소연구소,청소연구소;당근알바;미소,3,20,2141894,female,30s,care_cleaning,가사·청소·돌봄,primary,,regular,940502,24506335,26294497,25400416,1,valid
108,irregular,크몽,크몽,1,26,2797732,female,50s,professional,전문서비스,primary,,irregular,940911,36764242,27447343,32105792,0,valid
109,regular,생각대로,생각대로,1,15,612414,male,40s,delivery_transport,운송·배달·대리,secondary,delivery,seasonal,940918,7621498,7200495,7410996,0,train
110,regular,바로고,바로고,1,7,527568,male,20s,delivery_transport,운송·배달·대리,occasional,delivery,regular,940918,6074785,6071228,6073006,0,train
111,irregular,에이모,에이모;크라우드웍스,2,24,1228814,female,20s,simple_computer,컴퓨터 단순작업,primary,,irregular,940911,17151911,13743305,15447608,0,train
112,irregular,크몽,크몽;숨고,2,26,2358660,female,40s,professional,전문서비스,primary,,irregular,940911,44875497,20720247,32797872,1,valid
113,regular,바로고,바로고;카카오T대리;요기요,3,9,380357,male,40s,delivery_transport,운송·배달·대리,occasional,delivery,regular,940918,4799373,4389071,4594222,0,valid
114,irregular,숨고,숨고;크몽,2,20,4562608,male,40s,professional,전문서비스,primary,,irregular,940911,52171192,12748928,32460060,1,valid
115,irregular,크몽,크몽,1,23,3674403,male,50s,professional,전문서비스,primary,,irregular,940911,45781152,58686519,52233836,0,train
116,seasonal,바로고,바로고;카카오모빌리티,2,25,2054907,male,40s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,26538729,27205357,26872043,1,valid
117,seasonal,쿠팡이츠,쿠팡이츠,1,16,1531284,male,60s,delivery_transport,운송·배달·대리,secondary,delivery,seasonal,940918,17699227,18783055,18241141,0,valid
118,regular,크몽,크몽;숨고,2,22,3885363,male,60s,professional,전문서비스,primary,,regular,940911,44864298,50119500,47491899,1,valid
119,seasonal,카카오T대리,카카오T대리,1,8,637420,male,40s,delivery_transport,운송·배달·대리,occasional,proxy,seasonal,940920,8309675,8383323,8346499,0,train
120,regular,미소,미소,1,20,1294099,female,60s,care_cleaning,가사·청소·돌봄,primary,,regular,940502,15734123,17243166,16488644,0,train
121,regular,생각대로,생각대로,1,26,1653471,male,30s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,20762600,19589615,20176108,0,valid
122,irregular,유튜브,유튜브;클래스101,2,20,2275147,female,50s,creative,창작활동,primary,,irregular,940306,26261349,26018426,26139888,1,train
123,irregular,크몽,크몽,1,6,872848,male,40s,professional,전문서비스,occasional,,irregular,940911,18487436,11247801,14867618,0,train
124,regular,카카오T대리,카카오T대리,1,22,2730495,male,60s,delivery_transport,운송·배달·대리,primary,proxy,regular,940920,33522143,34880001,34201072,0,train
125,regular,당근알바,당근알바;대리주부;미소,3,10,407334,female,40s,care_cleaning,가사·청소·돌봄,occasional,,seasonal,940502,5101653,5219989,5160821,0,train
126,regular,요기요,요기요,1,22,3104572,male,60s,delivery_transport,운송·배달·대리,primary,delivery,regular,940918,39337188,39705948,39521568,0,train
127,irregular,크몽,크몽,1,11,798321,female,50s,professional,전문서비스,occasional,,irregular,940911,7197201,12926056,10061628,0,valid
128,regular,로지올,로지올,1,26,2534917,female,60s,delivery_transport,운송·배달·대리,primary,delivery,regular,940917,31140194,32063874,31602034,0,train
129,regular,크몽,크몽;숨고,2,26,3382922,female,30s,professional,전문서비스,primary,,regular,940911,41688070,44865563,43276816,1,train
130,irregular,에이모,에이모;셀렉트스타,2,24,873460,male,50s,simple_computer,컴퓨터 단순작업,primary,,irregular,940911,14267798,15853947,15060872,0,train
131,irregular,생각대로,생각대로,1,10,979640,male,40s,delivery_transport,운송·배달·대리,secondary,delivery,irregular,940918,6837039,7177180,7007110,0,train
132,irregular,에이모,에이모;크라우드웍스,2,21,1750371,male,30s,simple_computer,컴퓨터 단순작업,primary,,irregular,940911,6660945,9248836,7954890,0,valid
133,irregular,클래스101,클래스101,1,23,1927652,female,30s,creative,창작활동,primary,,irregular,940306,17947288,26835191,22391240,0,train
134,seasonal,카카오T대리,카카오T대리;쿠팡이츠,2,7,1045000,male,40s,delivery_transport,운송·배달·대리,occasional,proxy,seasonal,940920,13757397,12617333,13187365,0,train
135,irregular,요기요,요기요;배달의민족,2,23,3302486,male,30s,delivery_transport,운송·배달·대리,primary,delivery,irregular,940918,42630426,23393410,33011918,1,valid
136,irregular,클래스101,클래스101,1,11,911321,male,40s,creative,창작활동,secondary,,irregular,940306,28322713,20594719,24458716,0,valid
137,seasonal,요기요,요기요,1,10,1214784,male,30s,delivery_transport,운송·배달·대리,secondary,delivery,seasonal,940918,15741687,14314692,15028190,0,train
138,seasonal,생각대로,생각대로,1,9,598356,male,20s,delivery_transport,운송·배달·대리,occasional,delivery,regular,940918,6965937,7093158,7029548,0,valid
139,irregular,셀렉트스타,셀렉트스타,1,18,903716,female,60s,simple_computer,컴퓨터 단순작업,secondary,,irregular,940911,5279083,10759223,8019153,0,valid
140,irregular,요기요,요기요,1,23,3692317,male,40s,delivery_transport,운송·배달·대리,primary,delivery,irregular,940918,36108804,55929541,46019172,0,valid
141,irregular,위시켓,위시켓,1,23,2392260,female,20s,it_service,IT 서비스,primary,,irregular,940911,40792114,44382015,42587064,0,valid
142,regular,미소,미소,1,26,1020949,female,30s,care_cleaning,가사·청소·돌봄,primary,,seasonal,940502,13688477,12947473,13317975,0,train
143,regular,배달의민족,배달의민족,1,22,2012687,male,20s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,24274389,27421867,25848128,0,train
144,irregular,청소연구소,청소연구소,1,24,1236633,male,30s,care_cleaning,가사·청소·돌봄,primary,,irregular,940502,15170077,36545053,25857565,0,valid
145,regular,바로고,바로고;카카오T대리;요기요,3,7,326912,male,40s,delivery_transport,운송·배달·대리,occasional,delivery,regular,940918,3656017,3966858,3811438,0,train
146,regular,바로고,바로고,1,10,568334,female,30s,delivery_transport,운송·배달·대리,occasional,delivery,regular,940918,6916551,6771573,6844062,0,train
147,regular,바로고,바로고;로지올,2,21,2042327,male,40s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,24309787,28540933,26425360,1,train
148,regular,프리모아,프리모아;이랜서,2,22,2800621,male,30s,it_service,IT 서비스,primary,,regular,940911,35196365,32765612,33980988,1,valid
149,seasonal,쿠팡플렉스,쿠팡플렉스,1,21,3217624,male,60s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940917,41395768,42987372,42191570,0,train
150,regular,요기요,요기요,1,20,1880305,male,40s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,21426062,26909350,24167706,0,valid
151,regular,미소,미소;당근알바,2,6,441278,female,50s,care_cleaning,가사·청소·돌봄,occasional,,seasonal,940502,5585422,5768970,5677196,0,train
152,regular,카카오T대리,카카오T대리;바로고,2,23,2198993,male,40s,delivery_transport,운송·배달·대리,primary,proxy,regular,940920,26555666,26404017,26479842,1,train
153,irregular,숨고,숨고,1,9,609470,female,40s,professional,전문서비스,occasional,,irregular,940911,6618324,4990578,5804451,0,valid
154,seasonal,배달의민족,배달의민족,1,17,1355722,male,50s,delivery_transport,운송·배달·대리,secondary,delivery,seasonal,940918,15525094,17027009,16276052,0,train
155,regular,생각대로,생각대로,1,20,1683009,female,50s,delivery_transport,운송·배달·대리,primary,delivery,regular,940918,19578956,21684760,20631858,0,train
156,regular,요기요,요기요,1,21,2107845,female,30s,delivery_transport,운송·배달·대리,primary,delivery,regular,940918,26646822,24239900,25443361,0,train
157,regular,바로고,바로고;배달의민족,2,14,1281417,male,40s,delivery_transport,운송·배달·대리,secondary,delivery,regular,940918,15869218,17343665,16606442,0,train
158,seasonal,쿠팡이츠,쿠팡이츠,1,9,778639,male,40s,delivery_transport,운송·배달·대리,occasional,delivery,seasonal,940918,10677903,10322591,10500247,0,train
159,irregular,크몽,크몽,1,17,1033440,male,40s,professional,전문서비스,secondary,,irregular,940911,7877538,12349711,10113624,0,valid
160,irregular,크라우드웍스,크라우드웍스,1,18,457374,male,20s,simple_computer,컴퓨터 단순작업,secondary,,irregular,940911,10765815,3971402,7368608,0,train
161,seasonal,카카오모빌리티,카카오모빌리티;쿠팡플렉스,2,22,2180671,male,50s,delivery_transport,운송·배달·대리,primary,proxy,seasonal,940920,27623747,23901601,25762674,1,train
162,regular,크몽,크몽,1,12,1140659,female,40s,professional,전문서비스,secondary,,regular,940911,13924381,12914401,13419391,0,train
163,irregular,미소,미소;대리주부,2,24,1572225,female,60s,care_cleaning,가사·청소·돌봄,primary,,irregular,940502,22029991,12864029,17447010,0,valid
164,seasonal,크라우드웍스,크라우드웍스,1,12,532614,female,50s,simple_computer,컴퓨터 단순작업,occasional,,regular,940911,6377401,6281852,6329626,0,train
165,regular,쿠팡이츠,쿠팡이츠;배달의민족,2,20,2026168,male,60s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,26106764,25314992,25710878,1,train
166,irregular,청소연구소,청소연구소;미소,2,15,696662,female,60s,care_cleaning,가사·청소·돌봄,secondary,,irregular,940502,7941758,13575097,10758428,0,train
167,regular,생각대로,생각대로,1,23,2018557,female,10s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940918,26742464,26715696,26729080,0,valid
168,regular,쿠팡이츠,쿠팡이츠;배달의민족,2,22,2135480,male,30s,delivery_transport,운송·배달·대리,primary,delivery,regular,940918,26378551,24772324,25575438,1,train
169,irregular,요기요,요기요;카카오T대리;배달의민족,3,4,545821,male,40s,delivery_transport,운송·배달·대리,occasional,delivery,irregular,940918,5087536,3115113,4101324,0,train
170,irregular,바로고,바로고,1,24,1425556,male,30s,delivery_transport,운송·배달·대리,primary,delivery,irregular,940918,33518295,14438914,23978604,0,train
171,irregular,카카오T대리,카카오T대리;바로고,2,20,1497349,male,40s,delivery_transport,운송·배달·대리,primary,proxy,irregular,940920,20445073,15530148,17987610,0,train
172,irregular,쿠팡이츠,쿠팡이츠,1,6,525925,male,50s,delivery_transport,운송·배달·대리,occasional,delivery,irregular,940918,3911370,7173971,5542670,0,valid
173,regular,프리모아,프리모아,1,10,1727886,female,50s,it_service,IT 서비스,secondary,,seasonal,940911,21830088,21717949,21774018,0,train
174,regular,청소연구소,청소연구소;대리주부,2,7,483742,female,50s,care_cleaning,가사·청소·돌봄,occasional,,seasonal,940502,5559163,5974211,5766687,0,valid
175,irregular,크라우드웍스,크라우드웍스,1,21,1464943,female,30s,simple_computer,컴퓨터 단순작업,primary,,irregular,940911,11000342,7299729,9150036,0,train
176,irregular,크몽,크몽,1,6,594196,female,40s,professional,전문서비스,occasional,,irregular,940911,6989543,10901653,8945598,0,train
177,irregular,카카오T대리,카카오T대리,1,14,961905,male,30s,delivery_transport,운송·배달·대리,secondary,proxy,irregular,940920,7226818,6299646,6763232,0,train
178,regular,쿠팡플렉스,쿠팡플렉스,1,25,2403910,male,40s,delivery_transport,운송·배달·대리,primary,delivery,seasonal,940917,31278756,30251205,30764980,0,valid
